"ID";"Reisender";"Titel";"Standort";"Stand";"Original";"Bearbeitungsvermerk";"Reisezeit";"KA";"KE";"Koordinaten";"Band"
110;Anonymus;"Anonymus: Aus dem Orient: Reisebriefe an Freundinnen in der Heimat.  Als Handschrift gedruckt. Bonn 1877, 72p. 
";Gen: GT 988(I, 773);1;1;0;;18;65;;0
111;Anonymus;"Anonymus: (Ferienreise eines preußischen Juristen) Nach Constantinopel und Brussa. Berlin 1855, 384p. 
";Gen: GT 1494(I, 516);1;1;0;;18;31;;0
112;Anonymus;"Anonymus: Extracts from a journal of a pilgrimage in search of the curious and beautiful, in Italy, Sicily and Greece, during the years 1845-1846. London 1850, xi + 201p. , 9 plates, preface signum. 
";Gen: GT 1107(I, 424);1;1;0;;58;64;;0
113;Anonymus;"Anonymus: Le voyage de Turquie et de la Saincte Terre commançant au second feuillet: Demonstratur quatra proven; Finit: dissolvi vel ridere. Paris 1830. 
";Röhricht 553;1;1;0;;255;0;;0
114;Anonymus;"Anonymus: Viaggio a Constantinopoli di Gio: Battista Donado, Senator Veneto, spedito Bailo alla Porta Ottomana l'anno 1680, sua permanenza, e ritorno in patria nel 1684, osservati colla raccolta delle più curiose notitie dal fù Dottor Antonio Benetti, e dati in luce dal dal Dottor Francesco Maria Pazzaglia... Venedig 1688. 
";Gen: GT 799 (II, 111;1;1;0;;18;18;;0
115;Anonymus;"Anonymus: Handbuch für Reisende in den Orient. Die ionischen Inseln,  Griechenland, Türkei, Inseln d. Archipels, Syrien, Palästina und Aegypten. Stuttgart 1846. 
";Röhricht 2128;1;1;0;;71;74;;0
116;Anonymus;"Anonymus: Drei Monate im Orient. Aegypten, Palästina, Syrien, Persien,  Klein-Asien. Leipzig 1860, vi+380p. 
";Röhricht 2483     ;1;1;7;;255;0;;0
117;Anonymus;"Anonymus: De regnis ultramarinis et primo de regno Cathay/ / Greci,  Armeni, Iacobini, Nestorini et Sarraceni habentes linguam Arabicam.  Servitium ecclesie faciunt in Greco. o. O. o. J. 
";Röhricht 479;1;1;0;;255;0;;0
118;Anonymus;"Anonymus: Voyage à Constantinople, en Egypte, en Terre Sainte, dans quelque isles de l'archipel etc. fait pendant les années 1667, 1668,  1669 et 1670 par un prêtre de Liège. 
";Röhricht 1140;1;1;0;;18;18;;0
119;Anonymus;"Anonymus: Spiegazione della tavola che contienne la delineazione dei littorali e delle isole dell'Arcipelago, teatro delle navali operazioni militari della flotta Russa nell'attual guerra, che arde trai Russi e i Turchi. Venezia 1770. 
";Sym. ;1;1;0;;255;0;;0
120;Anonymus;"Anonymus: Descrizione storico- geografica dell'Arcipelago, suoi littorali, isole, provincie, adiacenti, nella terza carta Geographica del teatro della guerra presente fralla Russia e la Porta Ottomana. Venezia 1770. 
";Sym. ;1;1;0;;255;0;;0
121;Anonymus;"Anonymus: Travels through Egypt, Turkey, Syria and the Holy Land by an English Merchant. o. O. 1758. 
";Röhricht 1467;1;1;0;;255;0;;0
122;Anonymus;Anonymus: Relation nouvelle du Levant avec une description de l'Asie Mineure, de l'Arménie et du royaume de Perse. Paris 1668.  ;Röhricht 1149;1;1;0;;255;0;;0
123;Anonymus;"Anonymus: Photograms of an Eastern Tour: being Journal letters of last year written home from Germany, Dalmatia, Corfu, Grece, Palestine Desert of Shûr, Egypt. the Mediterranean. London 1859, 359p. 
";Röhricht 2617;1;1;0;;31;38;;0
124;Anonymus;"Anonymus: Of mountains in Greece and places in the Holy Land.  Oxford, Bodlej. Digbin. 88, 4s. XV, fol. 28-9. o. O. o. J. 
";Röhricht 529;1;1;0;;255;0;;0
125;Anonymus;"Anonymus: Nouveau Voyage de l'Égypte, de la Terre Sainte, du Mont Liban, de Constantinople et des Echelles du Levant(en portugais).  Lissabon 1702, 324p. 
";Röhricht 1290;1;1;0;;18;18;;0
126;Anonymus;"Anonymus: Newe Schiffart, dariinen eigentlich und auffs kurzest beschrieben wird die Reise einer Schiffahrt aus Constantinople in Syriam, Palaestinam, Aegypten und auff den Berg Sinai. Nürnberg 1583,  22p. 
";Röhricht 789;1;1;0;;18;18;;0
127;Anonymus;"Anonymus: Sayah, or, The courier to the East. 2. Auflage London 1856,  ii+202p. 
";Gen: GT 1495(I, 537);1;1;0;;18;58;;0
128;Anonymus;"Anonymus: Nouveaux mémoires des missions de la Compagnie de Jésus dans le Levant. Paris 1714. 
";Sym. ;1;1;0;;255;0;;0
129;Anonymus;"Anonymus: Selections from my journal during a residence in the Mediterranean. London 1836, 128p. 
";Gen: GT 1071(I, 244);1;1;0;;16;58;;0
130;Anonymus;"Anonymus: Narrative of a tour through some parts of the Turkish Empire. Not published. London 1829, iv+560p. 
";Gen: GT 1027 (I, 179;1;1;0;;27;99;;0
131;Anonymus;"Anonymus: Deux années à Constantinople et en Morée (1825-1826), ou,  Esquisses historiques sur Mahmoud, les Janissaires, les nouvelles troupes, Ibrahim Pacha, Solyman-Bey etc. Par C... D... , élève interprète du roi à Constantinople. Ouverage orné d'un choix de costumes orientaux soigneusement coloriés, et lithographiés par Collin, élève de Girodet. London/ Paris 1828, 219p. 
";Gen: GT 1034 (I, 161;1;1;0;;18;97;;0
132;Anonymus;"Anonymus: Reise nach Sizilien und Athen, den Inseln des Archipelagus Smyrna, Konstantinopel und den Küsten von Afrika. Aus dem Englischen übersetzt und mit einigen Zusätzen begleitet von Bernard Reith.  Leipzig 1798. 
";BO Arch. Sem. ;1;1;0;;18;58;;0
133;Anonymus;"Anonymus: Griechenland. Erste Abtheilung... Titelblatt verloren,  Zweite Abtheilung: Die Ionischen Inseln, in 1 Bd. geb. Schweidnitz um 1820, mit mehreren Lithographien. 
(Aus: Neuestes Gemälde der Erde und ihrer Bewohner... ? )
";"BO Arch. Sem. ; Köni";1;1;0;;255;0;;0
134;Anonymus;"Anonymus: Türkey und Griechenland. Zweyte Abtheilung, Griechenland und die Griechen. Nach Gell, Castellan, Clarke, Pouqueville, Walpole,  Dodwell, Leake, und früheren Reisenden örtlich und historisch beschrieben von Depping. Aus dem Französischen. 2 Bde. Leipzig 1824.  1 Bd.: 191p. , 1 map, 6 ill. 
2 Bd.: 162p. , XXXIV Reg. , 7 ill. 
";Reddemann;1;1;0;;255;0;;0
135;Anonymus;"Anonymus: Le voyage de la saincte cyté de Hierusalem, avec la description des lieux, ports, villes, citez et autres paissaiges fait l'an mil quatre cens quatre vingt, estant le siège du grant Turc à Rhodes et regnant en France Loys unziesme de ce nom. Publié par M Ch. Schefer. Paris 1882, xlvii+152p. 
NA: Amsterdam 1970. 
";St. Bibl. HB CE 1206;2;1;0;;31;38;;0
136;Anonymus;"Anonymus: Description de Constantinople. In: Itinéraires Russes en Orient. Traduit pour la Société de l'Orient Latin par Mme. B. de Khitrowo. I. 1. Genf 1889, 223-239. 
";MS UB H 3 458;2;1;0;;18;18;;0
137;Anonymus;"Anonymus: A ride across the Peloponnese. In: Blackwood's Edinburgh Magazine 123 (1878), 550-570. 
";MS Engl. Sem MFB 182;2;1;0;;31;64;;0
138;Anonymus;"Anonymus: Noch ein ander Send-Schreiben Auß dem Lager vor Modon vom 19. 29. (sic)Julii 1686. welches von ein und andern denckwürdigen Sachen selbiger Gegenden, und angräntzenden See-Küsten handelt. o. O.  1686, 11p. 
(Evt. angebunden an Anonymus: Gründlicher und genauer Bericht... ) ";Redemann;2;1;0;;70;70;;0
139;Anonymus;"Anonymus: Griechische Erinnerungen eines Reisenden, hrsg. von Theodor Birt. Marburg 1902, VII+304p. 
";MS UB 49 OKT 2362;2;1;0;;61;78;;0
140;Anonymus;Anonymus: Tagebuch einer Reise durch Griechenland und Albanien. Von einem Deutschen, der in englischen Diensten stand. Berlin 1826, 308p.  ;Reddemann;2;1;0;;28;70;;0
141;Anonymus;"Anonymus: Athens in 1853. In: Blackwood's Edinburgh Magazine 1853,  569-582. 
";MS Engl. Sem. MFB 18;4;1;0;;255;0;;0
142;Anonymus;"Anonymus: A ride to Magnesia. In: Blackwood's Edinburgh Magazine 61 (1847), 2 parts, 231-242 and 305-318. 
";MS Engl. Sem. MFB 18;4;1;0;;255;0;;0
143;Anonymus;"Anonymus: The Eastern shores of the Black Sea. In: Blackwood's Edinburgh Magazine 78 (1855), 521-532. 
";MS Engl. Sen. MFB 18;4;1;0;;255;0;;0
144;Anonymus;Anonymus: Gründlicher und genauer Bericht Aller merckwürdigen Sachen, welche bey Beläger- und Eroberung der Vestungen in Morea Navarino und Modon täglich vorgelauffen. Bestehend in zweyen Sendschreiben, welche auß den Lägern ermeldter Plätze an unterschiedliche Freund nach Teutschland abgelassen worden. o. O. 1686, 40p.  ;Redemann;4;1;0;;255;0;;0
145;Anonymus;"Anonymus: Monumens de Rhodes. Bruxelles o. J. Engraved title and 75 lithograph plates to accompany the preceding. 
";Gen: GT 3206. 1(I, 1;1;2;0;;74;85;;0
146;Anonymus;"Anonymus: A new journey through the kingdoms and provinces of Italy Greece, Egypt, and Palestine, as also thro'Swisserland, Alsatia, and the Netherlands. Written by a French Officer, who travelled those countries in the years 1721, 1722, and 1723, in XXV familiar letters to a friend, containing many curious observations relating to the present state.... 2. Aufl. London 1739, vi+269p. , index. 
";Gen: GT 632 (II, 488;1;2;0;;255;0;;0
147;Anonymus;"Anonymus: Nouveau voyage de Grèce, d'Égypte, de Palestine, d'Italie, de Suisse, d'Alsace et des Pays-Bas, fait en 1721, 1722 & 1723. La Haye 1724, xxx+412p. 
Utrecht 1729, xxxii+412p. 
";MS UB 1 E 14271;2;2;0;;33;90;;0
148;Anonymus;"Anonymus: Itinerarium a Bordigala Hierusalem usque, et ab Heraclea per Aulonam et per urbem Romam Mediolanum usque. Palestine
Pilgrim's Society, ed. T. Tobler. London 1807. 
";MS UB 1D1002;4;2;0;;255;0;;0
149;Anonymus;"Anonymus: Itinerary with distances from Prague through Germany and Flanders to London and Edinburgh, thence through France, Spain and Italy and by Venice to Ierusalem and Mount Sinai and thence through Constantinople to Denmark, Sweden and Norway. London, Egerton Add. 1901s. XV, fol 151b-4. 
";Röhricht 523;1;3;0;;18;18;;0
150;Anonymus;"Anonymus: Viaje de S. A. R. et serenissimo senor duque de Montpensier à Tunez, Egipto, Turquia y Grecia. Cartas por Mr. Antonio de Latour. Traducidas del 'francés por D. Pedro L. A. Dupony. Sevilla und Madrid 1849. 
";Röhricht 2206;1;3;0;;255;0;;0
151;Anonymus Armenian;"Anonymus Armenian: A Medieval Armenian Pilgrim 's Description of Constantiopel, (These are the shrines in Constantinople where the bodies of the saint are gathered. )In: Revue des
études arméniennes, hrsg. von S. Bock. N. S. 4, 1967, 81-102. 
";Vin;1;1;0;;18;18;;0
152;Anonymus Anglicus;"Anonymus Anglicus: Itinerarium cuiusdam Anglici Terram Sanctam et alia loca sancta visitantis. In: Bibliotheca bio-bibliografica della Terra Santa e dell'Oriente Francescano, hrsg. v. P. Girolamo Golubovich. Bd. 4. Florenz 1923, 427-460. 
";MS UB 49: 838-4;2;1;0;;54;99;;0
153;Anonymus(A. B. D. );"Anonymus(A. B. D. ): Voyage en Orient ou tableau fidèle des moeurs, du commerce de toute espèce, des intrigues, des filouteries, des amours particuliers etc. des differens peuples du Levant. Par A. B. D. qui pendant quarante ans a séjourné ou voyagé dans ces contrées, tant pour M. Peyssonnel que pour son propre commerce, son instruction et ses plaisirs. Paris 1801. 
";Sym. ;1;1;0;;255;0;;0
154;Anonymus(Conz, Carl Philipp);"Anonymus(Conz, Carl Philipp): Schilderungen aus Griechenland. Reutlingen 1785, 8 ungez. 183p. 
";Grieb;1;1;0;;255;0;;0
155;Anonymus(Hase, Karl August);Anonymus(Hase, Karl August): Der griechische Robinson. Ein Lesebuch für die deutsche Jugend. 2 Bde. Leipzig 1828, 1 Bl. , 214p. , 1Bl. , 220p.  ;Grieb;1;1;0;;255;0;;0
156;Anonymus(Richter, Wilhelm);"Anonymus(Richter, Wilhelm): Der sächsische Robinson, oder Wilhelm Retchirs, Eines Gebohrnen Sachsens, Wahrhafftige Bescheibung seiner Anno 1691, von Leipzig aus, durch Holland, Engelland, Franckreich, Spanien, Portugal, die Barbarey, Griechenland, Servien und Hungarn gethanrn Reisen, Wobey er vielen wunderbare Glücks- und Unglücksfällen..  Leipzig 1722, 4 ungez. 424p. mit Frontspiz. 
";Grieb;1;1;0;;255;0;;0
157;Anonymus(Richter, Wilhelm);"Anonymus(Richter, Wilhelm): Der Andere Theil des Sächsischen Robinson oder Wilhelm Retchirs Wunderbare Reise/ Ueber Österreich/ Hungarn Türckey/ nach Constantinopel, über Palestinam nach Mecha und  Egypten und durch Barbariam, Griechenland. Endlich von Italien  zurück nach Sachsen, darinnen seine abermahlige Sclaverey und  wunderliche Begebenheiten... Leipzig 1723, mit Kupffern. 
";Grieb;1;1;0;;255;0;;0
158;Anonymus(Volkmar, Johann Tobias);"Anonymus(Volkmar, Johann Tobias): Der flüchtige und wieder zurückgekehrte Mönch von dem Berge Athos. Aus den Berichten eines Heidenbekehrers an seine Freunde in Europa. Breslau 1764. 
";Grieb;1;3;0;;26;29;;0
159;Anonymus(Walsdorf, Christian von);"Anonymus(Walsdorf, Christian von): Reisebeschreibungen durch Ungarn,  Thrakien und Egypten. o. O. 1664. 
";Grieb;1;1;0;;16;20;;0
160;Ansted, D. T.;"Ansted, D. T.: The Ionian Islands in the year 1863. London 1863, xii + 480p. , frontispiece, map and 16 illustrations. 
";Kopie HILANG MS;2;1;0;;31;83;;0
161;Antenor;"Antenor: Reisen durch Griechenland und Asien. Mit Nachrichten über Ägypten. Aus einem in Heraculanum aufgefundenen Manuskript. Deutsch von Müller. 5 Bde. 1805-1808. Hamburg 1805/ 6. (= Leipzig: E. Schäfer).  Englische Originalausgabe: London 1799. 262, 230, 224, 232, 212p.  Französische Übersetzung: Paris 1802. 
";UB Augsburg;4;3;0;;255;0;;0
162;Antenor;"Antenor: Reisen durch Griechenland und Asien, etc. Aus dem Französischen von C. Floresky. 2 Bde. Leipzig 1806, mit Kupfern. 
";Engelmann S. 535;4;3;0;;255;0;;0
163;Antenor;"Antenor: Voyage d'Antenor en Grèce et en Asie, avec des notions sur l'Egypte: manuscrit trouvé à Herculaneum, traduit par E. F. Lautier. 3 Bde.  5e éd. , revue et corrigée par l'auteur Paris 1802, xvi+336p. 
338p. , 355p. 
";UB Erlangen;4;3;0;;255;0;;0
164;Anthony von Novgorod;"Anthony von Novgorod: Le Livre du pèlerin d'Antoine de Novgorod,  hrsg. von M. Erhard. In: Romania 58 (1932), 44-65. 
";MSRomSem ZR 15;2;3;0;;18;18;;0
165;Antillon, Isitor;"Antillon, Isitor: Noticia istrica del viaje de la Fragata Espagnola Soledad, al reconocimiento y situation de varioi puntoi del Archipelago de Grecia; con algunai noticiai sobre la litografia de Levante. Madrid 1804. 
";Sym.              ;1;1;4;;255;0;;0
166;Antonios;"Antonios: Beschreibung einer Reise nach dem Athos und dem Jerusalem. o. O. o. J. 
";Röhricht 2640;1;1;0;;29;29;;0
167;Antonius;"Antonius: De Locis sanctis. In: Itinera Hierosolymitana et
descriptiones Terrae Sanctis Belli sacris anteriora latina lingua exarata sumptibus scietatis, hrsg. v. Titus Tobler und August Molier.  Genf 1879, 91ff. 
";Göttingen;4;1;0;;255;0;;0
168;Antonius;"Antonius: Description des Lieux-Saints de Constantinople. In: Itinéraires Russes en Orient. Traduit pour la Société de l'Orient Latin par Mme. B. de Khitrowo. I. 1. Genf 1889, 85-111. 
";MS UB H 3 458;2;3;0;;18;18;;0
169;Appleton, William Hyde;"Appleton, William Hyde: An early English traveler in Greece. London 1920. 
";Sym.              ;1;1;4;;255;0;;0
170;Aramon, M. d';"Aramon, M. d': Le voyage de Monsieur d'Aramon ambassadeur pour le Roy en Levant faict de Paris à Constantinople d'an 1547, escript par  Noble Homme Jean Chesneau, l'un des secretaires dudict seigneur  ambassadeur. Publié et annoté par Charles Schefer. 
Paris 1887, lxi+167p. 
";"Röhricht 680; Lydaki";1;1;4;;18;18;;0
171;Arbois, d';"Arbois, d': Mémoire sur les trois Départemens de Corcire, d'Ithaque et de la mer Égée. Par les citoyens d'Arbois frères, ci-devant officiers de l'état-major-général de l'armée d'Italie, division du Levant. Paris 1797/ 98. 
";Sym.              ;1;1;1;;31;38;;0
172;Arculf;"Arculf: The Travels of Arculf, in the Holy Land, towards A. D. 700.  In: Early Travels in Palestine, hrsg. v. Thomas Wright. London1969.  Reprinted from the Edition of the edition of 1848, London. 
";UB Bochum;2;1;0;;18;18;;0
173;Arculf;"Arculf: Itinera Hierosolimitana, hrsg. von T. Tobler und A. Molinier,  I. Geneva 1879
";Göttingen;2;1;0;;18;18;;0
174;Arculf;"Arculf: Eines Pilgers Reise nach dem heiligen Lande (um 670), übers.  von P. Mickley. In: Das Land der Bibel. Gemeinverständliche Hefte zur Palästinakunde, hrsg. von G. Hölscher. Bd. 2. H. 2-4. Leipzig 1917, 106p. ,  6 ill. 
";MS UB Z Okt 1393-2/ ;2;1;0;;18;18;;0
175;Arculf;Arculf: Adamman's de locis sanctis, hrsg. von D. Meehan. Dublin 1958.  ;UB Bonn 60/ 4807;2;1;0;;18;18;;0
176;Armstrong, T. B.;"Armstrong, T. B.: Journal of travels in the seat of war during the last two campaigns of Russia and Turkey, intended as an itinerary through the south of Russia, the Crimea, Georgia, and through Persia,  Koordistan, and Asia Minor, to Constantinople. With map expressly drawn up, and illustrative of the author's tour. London 1831, 16 + 242p. , map. 
";Gen: GT 1571 (I, 195;1;1;5;;18;18;;0
177;Armstrong, Isabel J.;"Armstrong, Isabel J.: Two roving Englishwomen in Greece. London 1893,  xi+300p. , 23 illustrations. 
";Gen: GT 1398 (I, 956;1;1;1;;32;64;;0
178;Arnim, Carl Otto Ludwig von (Hrsg. );"Arnim, Carl Otto Ludwig von (Hrsg. ): Flüchtige Bemerkungen eines Flüchtig-Reisenden. Berlin 1837. In 3 parts, with frontispiece and seperate title-page for each part. 
2 Bde. Berlin 1837/ 1841. 
";Stadtbibl. Köln;2;1;0;;255;0;;0
179;Arnim, Carl Otto Ludwig von (Hrsg. );"Arnim, Carl Otto Ludwig von (Hrsg. ): Flüchtige Bemerkungen eines  Flüchtig-Reisenden. Bd. 1: Reise von Neapel durch Apulien und die  Ionischen Inseln nach Athen, x+82p. ; Aufenthalt zu Athen ... ,  ix+104p. ; Aufenthalt in Konstantinopel ... , i+160p. 2 Notenblätter.  Berlin 1837. 
";Stadtbibl. Köln;2;1;0;;18;61;;1
180;Arnim, Carl Otto Ludwig von (Hrsg. );Arnim, Carl Otto Ludwig von (Hrsg. ): Flüchtige Bemerkungen eines  Flüchtig-Reisenden. Bd. 2: Reise nach Paris, Grenada, Sevilla und  Madrid zu Anfange des Jahres 1841. Berlin 1841, x+466p. , 1 Abb.  ;Stadtbibl. Köln;4;1;0;;255;0;;2
181;Arno von Faversham;"Arno von Faversham: s. Aymo von Faversham o. f. m. 
";                  ;1;1;7;;255;0;;0
182;Arnold, R. Arthur;"Arnold, R. Arthur: From the Levant, the Black Sea, and the Danube.  2 Bde. London 1868. 
";"";1;1;0;;255;0;;0
183;Arnold, R. Arthur;"Arnold, R. Arthur: From the Levant, the Black Sea, and the Danube.  London 1868. Bd. 1: xi+330p. 
";StB Pr. K. Berlin;2;1;0;;23;58;;1
184;Arnold, R. Arthur;"Arnold, R. Arthur: From the Levant, the Black Sea, and the Danube. London 1868. Bd. 2: fehlt
";"";1;1;0;;255;0;;2
185;Arriens, P.;"Arriens, P.: Dagboek eener Reis naar Constantinopel, in 1840 met eenige geschiedkundige mededeelingen en opermerkingen. Te's Gravenhage 1854, x+162p. 
";StB Berlin Ui 6680;2;1;0;;18;58;;0
186;Arundell, Francis V. J.;"Arundell, Francis V. J.: Discoveries in Asia Minor, including a discription of the ruins of several ancient cities, and especially Antioch of Pisidia. 2 Bde. London 1834, map and 10 illustrations.  Repro-ND Hildesheim, New York 1975, xxiii+358 u. vii+439p. 
";MSInstAlt: EpigrBI10;2;1;0;;43;63;;0
187;Arundell, Francis V. J.;"Arundell, Francis V. J.: A visit to the seven churches of Asia, with  an excursion into Pisidia; containing remarks on the geography and  antiquities of those countries, a map of the author's routes, and  numerous inscriptions. London 1828, vi+339p. , 22 plates of inscriptions, and map. 
";UB Bonn N 462;2;1;0;;43;63;;0
188;Arvieux, Laurentius Chevalier d';"Arvieux, Laurentius Chevalier d': Mémoires. Envoyé extraordinaire du roy à la Porte, Consul d'Alep, d'Alger de Tripoli, & autres echelles du Levant; contenant ses voyages à Constantinople, dans l'Asie, la Syrie, la Palestine, l'Egypte, & la Barbarie, la description de ces pais, les religions, les moeurs... les événemens les plus considérables recüeillis de ses mémoires originaux... 6 Bde. Paris 1735.  ";Gen: GT 538. 3(II, 3;1;1;0;;18;18;;0
